Subject,Accuracy,Treatment Condition,Age Group
60,1,Treatment,Older
60,1,Treatment,Older
60,0,Control,Older
60,1,Control,Older
60,1,Control,Older
60,0,Control,Older
60,1,Treatment,Older
60,1,Treatment,Older
60,0,Control,Older
60,1,Control,Older
60,1,Control,Older
60,1,Control,Older
60,1,Control,Older
60,1,Control,Older
60,1,Treatment,Older
60,0,Control,Older
60,1,Treatment,Older
60,1,Treatment,Older
60,1,Control,Older
60,1,Control,Older
60,1,Treatment,Older
60,1,Control,Older
60,1,Control,Older
60,1,Treatment,Older
60,1,Treatment,Older
60,1,Treatment,Older
60,1,Control,Older
60,1,Treatment,Older
60,1,Treatment,Older
60,1,Treatment,Older
60,1,Treatment,Older
60,1,Control,Older
61,1,Control,Younger
61,1,Treatment,Younger
61,1,Control,Younger
61,1,Control,Younger
61,1,Treatment,Younger
61,1,Control,Younger
61,1,Control,Younger
61,1,Control,Younger
61,1,Control,Younger
61,1,Control,Younger
61,0,Treatment,Younger
61,0,Treatment,Younger
61,1,Control,Younger
61,1,Control,Younger
61,1,Treatment,Younger
61,1,Control,Younger
61,1,Treatment,Younger
61,1,Control,Younger
61,1,Treatment,Younger
61,1,Control,Younger
61,1,Control,Younger
61,1,Treatment,Younger
61,1,Treatment,Younger
61,1,Treatment,Younger
61,1,Treatment,Younger
61,1,Treatment,Younger
61,1,Control,Younger
61,1,Treatment,Younger
61,1,Control,Younger
61,1,Control,Younger
61,1,Treatment,Younger
61,1,Treatment,Younger
61,1,Control,Younger
61,0,Control,Younger
61,1,Control,Younger
61,1,Treatment,Younger
61,1,Treatment,Younger
61,1,Treatment,Younger
61,1,Treatment,Younger
61,1,Control,Younger
61,1,Control,Younger
61,1,Treatment,Younger
61,1,Control,Younger
61,1,Control,Younger
61,1,Control,Younger
61,1,Treatment,Younger
61,1,Treatment,Younger
61,1,Treatment,Younger
61,1,Control,Younger
61,1,Treatment,Younger
61,1,Treatment,Younger
61,1,Treatment,Younger
61,1,Control,Younger
61,1,Control,Younger
61,1,Treatment,Younger
61,1,Control,Younger
61,1,Treatment,Younger
61,1,Treatment,Younger
61,1,Treatment,Younger
61,1,Control,Younger
61,1,Treatment,Younger
61,1,Treatment,Younger
61,1,Control,Younger
61,1,Control,Younger
62,1,Treatment,Younger
62,1,Treatment,Younger
62,1,Control,Younger
62,1,Treatment,Younger
62,1,Treatment,Younger
62,1,Control,Younger
62,1,Treatment,Younger
62,1,Control,Younger
62,1,Control,Younger
62,1,Control,Younger
62,0,Control,Younger
62,0,Treatment,Younger
62,1,Treatment,Younger
62,1,Control,Younger
62,1,Treatment,Younger
62,1,Treatment,Younger
62,1,Treatment,Younger
62,1,Control,Younger
62,1,Treatment,Younger
62,1,Control,Younger
62,0,Treatment,Younger
62,1,Control,Younger
62,1,Control,Younger
62,1,Control,Younger
62,1,Control,Younger
62,1,Control,Younger
62,1,Treatment,Younger
62,1,Treatment,Younger
62,1,Treatment,Younger
62,1,Treatment,Younger
62,1,Control,Younger
62,1,Treatment,Younger
62,1,Treatment,Younger
62,1,Control,Younger
62,1,Treatment,Younger
62,1,Control,Younger
62,1,Treatment,Younger
62,1,Treatment,Younger
62,1,Treatment,Younger
62,1,Control,Younger
62,1,Control,Younger
62,1,Treatment,Younger
62,1,Control,Younger
62,1,Treatment,Younger
62,1,Control,Younger
62,1,Treatment,Younger
62,1,Control,Younger
62,1,Control,Younger
62,0,Treatment,Younger
62,1,Control,Younger
62,1,Treatment,Younger
62,1,Control,Younger
62,1,Control,Younger
62,1,Treatment,Younger
62,1,Treatment,Younger
62,1,Control,Younger
62,1,Treatment,Younger
62,1,Treatment,Younger
62,1,Control,Younger
62,1,Control,Younger
62,0,Treatment,Younger
62,1,Control,Younger
62,1,Control,Younger
62,1,Control,Younger
63,0,Control,Younger
63,1,Treatment,Younger
63,1,Control,Younger
63,1,Control,Younger
63,1,Control,Younger
63,0,Control,Younger
63,1,Treatment,Younger
63,0,Treatment,Younger
63,1,Control,Younger
63,0,Treatment,Younger
63,1,Control,Younger
63,1,Control,Younger
63,0,Treatment,Younger
63,1,Treatment,Younger
63,1,Treatment,Younger
63,0,Treatment,Younger
63,1,Treatment,Younger
63,1,Treatment,Younger
63,1,Control,Younger
63,1,Control,Younger
63,1,Treatment,Younger
63,1,Control,Younger
63,1,Control,Younger
63,1,Treatment,Younger
63,1,Control,Younger
63,1,Control,Younger
63,0,Control,Younger
63,1,Treatment,Younger
63,1,Control,Younger
63,1,Treatment,Younger
63,1,Control,Younger
63,0,Control,Younger
63,1,Treatment,Younger
63,1,Treatment,Younger
63,1,Control,Younger
63,1,Control,Younger
63,1,Control,Younger
63,1,Control,Younger
63,0,Control,Younger
63,1,Treatment,Younger
63,1,Treatment,Younger
63,1,Treatment,Younger
63,0,Treatment,Younger
63,0,Treatment,Younger
63,0,Treatment,Younger
63,1,Control,Younger
63,1,Treatment,Younger
63,0,Control,Younger
63,1,Treatment,Younger
63,0,Treatment,Younger
63,1,Treatment,Younger
63,1,Control,Younger
63,1,Treatment,Younger
63,1,Treatment,Younger
63,0,Control,Younger
63,0,Treatment,Younger
63,1,Treatment,Younger
63,1,Treatment,Younger
63,1,Control,Younger
63,1,Control,Younger
63,0,Control,Younger
63,1,Control,Younger
63,0,Control,Younger
63,1,Treatment,Younger
64,1,Treatment,Younger
64,1,Control,Younger
64,1,Control,Younger
64,1,Control,Younger
64,1,Treatment,Younger
64,1,Treatment,Younger
64,1,Treatment,Younger
64,0,Treatment,Younger
64,1,Control,Younger
64,1,Treatment,Younger
64,1,Control,Younger
64,0,Control,Younger
64,1,Control,Younger
64,1,Control,Younger
64,1,Control,Younger
64,1,Treatment,Younger
64,1,Control,Younger
64,1,Control,Younger
64,1,Treatment,Younger
64,1,Control,Younger
64,1,Control,Younger
64,1,Control,Younger
64,1,Control,Younger
64,1,Treatment,Younger
64,1,Treatment,Younger
64,1,Treatment,Younger
64,0,Treatment,Younger
64,1,Control,Younger
64,1,Control,Younger
64,1,Control,Younger
64,1,Treatment,Younger
64,1,Control,Younger
64,1,Treatment,Younger
64,1,Control,Younger
64,1,Control,Younger
64,1,Treatment,Younger
64,1,Treatment,Younger
64,1,Treatment,Younger
64,0,Control,Younger
64,1,Treatment,Younger
64,1,Control,Younger
64,1,Treatment,Younger
64,1,Treatment,Younger
64,1,Control,Younger
64,1,Treatment,Younger
64,1,Treatment,Younger
64,1,Control,Younger
64,1,Treatment,Younger
64,1,Treatment,Younger
64,1,Treatment,Younger
64,1,Control,Younger
64,1,Control,Younger
64,1,Treatment,Younger
64,1,Treatment,Younger
64,1,Treatment,Younger
64,1,Treatment,Younger
64,1,Treatment,Younger
64,1,Control,Younger
64,1,Control,Younger
64,0,Control,Younger
64,1,Treatment,Younger
64,1,Control,Younger
64,1,Treatment,Younger
64,1,Control,Younger
65,1,Treatment,Younger
65,1,Control,Younger
65,1,Control,Younger
65,1,Treatment,Younger
65,1,Treatment,Younger
65,1,Treatment,Younger
65,1,Treatment,Younger
65,1,Treatment,Younger
65,1,Treatment,Younger
65,1,Control,Younger
65,1,Treatment,Younger
65,1,Control,Younger
65,1,Control,Younger
65,1,Treatment,Younger
65,1,Control,Younger
65,1,Treatment,Younger
65,1,Control,Younger
65,1,Treatment,Younger
65,1,Control,Younger
65,1,Treatment,Younger
65,1,Control,Younger
65,1,Control,Younger
65,1,Treatment,Younger
65,0,Treatment,Younger
65,1,Treatment,Younger
65,1,Treatment,Younger
65,1,Control,Younger
65,1,Treatment,Younger
65,1,Control,Younger
65,1,Control,Younger
65,1,Control,Younger
65,1,Treatment,Younger
65,1,Control,Younger
65,1,Treatment,Younger
65,1,Treatment,Younger
65,1,Control,Younger
65,1,Treatment,Younger
65,1,Treatment,Younger
65,1,Control,Younger
65,1,Treatment,Younger
65,1,Treatment,Younger
65,1,Treatment,Younger
65,1,Control,Younger
65,1,Treatment,Younger
65,1,Control,Younger
65,1,Control,Younger
65,1,Treatment,Younger
65,1,Control,Younger
65,1,Treatment,Younger
65,1,Control,Younger
65,1,Control,Younger
65,1,Treatment,Younger
65,1,Treatment,Younger
65,0,Control,Younger
65,1,Treatment,Younger
65,1,Control,Younger
65,1,Control,Younger
65,1,Control,Younger
65,1,Control,Younger
65,1,Control,Younger
65,1,Treatment,Younger
65,1,Control,Younger
65,1,Control,Younger
65,1,Control,Younger
66,1,Treatment,Younger
66,1,Treatment,Younger
66,1,Control,Younger
66,1,Control,Younger
66,1,Treatment,Younger
66,0,Treatment,Younger
66,1,Treatment,Younger
66,1,Control,Younger
66,1,Control,Younger
66,1,Treatment,Younger
66,1,Treatment,Younger
66,1,Control,Younger
66,1,Treatment,Younger
66,1,Control,Younger
66,1,Control,Younger
66,1,Treatment,Younger
66,1,Treatment,Younger
66,1,Control,Younger
66,1,Control,Younger
66,1,Treatment,Younger
66,1,Control,Younger
66,1,Control,Younger
66,1,Control,Younger
66,1,Treatment,Younger
66,1,Control,Younger
66,1,Control,Younger
66,1,Control,Younger
66,1,Treatment,Younger
66,1,Control,Younger
66,1,Treatment,Younger
66,1,Control,Younger
66,1,Control,Younger
66,1,Control,Younger
66,1,Treatment,Younger
66,1,Treatment,Younger
66,1,Control,Younger
66,1,Treatment,Younger
66,1,Control,Younger
66,1,Control,Younger
66,1,Control,Younger
66,1,Control,Younger
66,1,Treatment,Younger
66,1,Control,Younger
66,1,Control,Younger
66,1,Treatment,Younger
66,1,Treatment,Younger
66,1,Treatment,Younger
66,1,Control,Younger
66,1,Control,Younger
66,1,Treatment,Younger
66,1,Treatment,Younger
66,1,Control,Younger
66,1,Treatment,Younger
66,1,Treatment,Younger
66,1,Control,Younger
66,1,Treatment,Younger
66,1,Control,Younger
66,1,Treatment,Younger
66,1,Treatment,Younger
66,1,Treatment,Younger
66,1,Control,Younger
66,1,Treatment,Younger
66,1,Treatment,Younger
66,1,Treatment,Younger
67,1,Treatment,Younger
67,1,Control,Younger
67,1,Treatment,Younger
67,1,Treatment,Younger
67,1,Treatment,Younger
67,1,Control,Younger
67,1,Control,Younger
67,0,Treatment,Younger
67,1,Control,Younger
67,1,Treatment,Younger
67,1,Treatment,Younger
67,1,Treatment,Younger
67,1,Control,Younger
67,1,Control,Younger
67,1,Control,Younger
67,1,Control,Younger
67,1,Control,Younger
67,1,Control,Younger
67,1,Control,Younger
67,1,Treatment,Younger
67,1,Control,Younger
67,1,Treatment,Younger
67,1,Treatment,Younger
67,1,Control,Younger
67,1,Control,Younger
67,1,Treatment,Younger
67,1,Control,Younger
67,1,Treatment,Younger
67,1,Treatment,Younger
67,1,Control,Younger
67,1,Treatment,Younger
67,1,Treatment,Younger
67,0,Control,Younger
67,1,Treatment,Younger
67,1,Treatment,Younger
67,1,Treatment,Younger
67,1,Control,Younger
67,1,Control,Younger
67,1,Treatment,Younger
67,1,Control,Younger
67,1,Treatment,Younger
67,1,Control,Younger
67,0,Treatment,Younger
67,1,Control,Younger
67,1,Control,Younger
67,1,Control,Younger
67,1,Treatment,Younger
67,1,Control,Younger
67,1,Control,Younger
67,1,Control,Younger
67,1,Treatment,Younger
67,1,Control,Younger
67,1,Treatment,Younger
67,1,Treatment,Younger
67,1,Treatment,Younger
67,1,Treatment,Younger
67,1,Treatment,Younger
67,1,Control,Younger
67,1,Control,Younger
67,1,Treatment,Younger
67,1,Treatment,Younger
67,1,Control,Younger
67,1,Control,Younger
67,1,Treatment,Younger
68,1,Treatment,Younger
68,1,Control,Younger
68,1,Control,Younger
68,0,Control,Younger
68,1,Control,Younger
68,0,Control,Younger
68,1,Treatment,Younger
68,1,Treatment,Younger
68,0,Treatment,Younger
68,1,Control,Younger
68,1,Control,Younger
68,1,Treatment,Younger
68,0,Control,Younger
68,1,Treatment,Younger
68,1,Control,Younger
68,1,Treatment,Younger
68,1,Control,Younger
68,1,Control,Younger
68,1,Treatment,Younger
68,1,Control,Younger
68,1,Treatment,Younger
68,1,Control,Younger
68,1,Control,Younger
68,1,Control,Younger
68,1,Treatment,Younger
68,1,Treatment,Younger
68,1,Treatment,Younger
68,1,Treatment,Younger
68,1,Control,Younger
68,1,Control,Younger
68,1,Control,Younger
68,1,Control,Younger
68,1,Control,Younger
68,1,Treatment,Younger
68,1,Control,Younger
68,1,Treatment,Younger
68,1,Treatment,Younger
68,1,Treatment,Younger
68,1,Control,Younger
68,0,Treatment,Younger
68,1,Treatment,Younger
68,0,Control,Younger
68,1,Control,Younger
68,0,Treatment,Younger
68,0,Treatment,Younger
68,1,Control,Younger
68,1,Control,Younger
68,1,Treatment,Younger
68,1,Control,Younger
68,1,Treatment,Younger
68,1,Treatment,Younger
68,1,Treatment,Younger
68,1,Control,Younger
68,1,Control,Younger
68,1,Control,Younger
68,1,Control,Younger
68,1,Treatment,Younger
68,0,Treatment,Younger
68,1,Control,Younger
68,1,Treatment,Younger
68,1,Treatment,Younger
68,1,Treatment,Younger
68,1,Treatment,Younger
68,0,Treatment,Younger
69,1,Treatment,Younger
69,1,Control,Younger
69,0,Treatment,Younger
69,1,Treatment,Younger
69,1,Treatment,Younger
69,1,Treatment,Younger
69,1,Treatment,Younger
69,1,Treatment,Younger
69,1,Treatment,Younger
69,1,Control,Younger
69,1,Control,Younger
69,1,Treatment,Younger
69,1,Treatment,Younger
69,0,Treatment,Younger
69,1,Treatment,Younger
69,1,Treatment,Younger
69,1,Control,Younger
69,1,Control,Younger
69,1,Control,Younger
69,1,Control,Younger
69,1,Control,Younger
69,1,Control,Younger
69,0,Treatment,Younger
69,1,Control,Younger
69,0,Treatment,Younger
69,1,Treatment,Younger
69,0,Treatment,Younger
69,1,Control,Younger
69,1,Control,Younger
69,1,Treatment,Younger
69,1,Control,Younger
69,1,Control,Younger
69,1,Treatment,Younger
69,1,Treatment,Younger
69,1,Control,Younger
69,1,Control,Younger
69,0,Control,Younger
69,0,Treatment,Younger
69,1,Treatment,Younger
69,1,Control,Younger
69,1,Control,Younger
69,1,Control,Younger
69,1,Control,Younger
69,1,Treatment,Younger
69,0,Control,Younger
69,1,Treatment,Younger
69,1,Control,Younger
69,1,Control,Younger
69,1,Treatment,Younger
69,1,Treatment,Younger
69,1,Control,Younger
69,0,Control,Younger
69,1,Treatment,Younger
69,1,Control,Younger
69,1,Control,Younger
69,1,Treatment,Younger
69,1,Control,Younger
69,1,Control,Younger
69,1,Control,Younger
69,0,Control,Younger
69,1,Treatment,Younger
69,1,Treatment,Younger
69,0,Treatment,Younger
69,1,Treatment,Younger
70,1,Control,Younger
70,1,Control,Younger
70,1,Control,Younger
70,1,Treatment,Younger
70,1,Control,Younger
70,0,Treatment,Younger
70,1,Treatment,Younger
70,1,Control,Younger
70,1,Control,Younger
70,1,Control,Younger
70,1,Treatment,Younger
70,1,Control,Younger
70,0,Control,Younger
70,1,Control,Younger
70,1,Treatment,Younger
70,1,Treatment,Younger
70,1,Control,Younger
70,1,Treatment,Younger
70,1,Control,Younger
70,1,Treatment,Younger
70,1,Treatment,Younger
70,1,Control,Younger
70,1,Control,Younger
70,1,Treatment,Younger
70,0,Control,Younger
70,0,Treatment,Younger
70,1,Treatment,Younger
70,1,Treatment,Younger
70,1,Control,Younger
70,1,Treatment,Younger
70,1,Treatment,Younger
70,1,Control,Younger
70,1,Control,Younger
70,1,Treatment,Younger
70,1,Control,Younger
70,1,Control,Younger
70,1,Control,Younger
70,0,Control,Younger
70,1,Treatment,Younger
70,1,Control,Younger
70,1,Treatment,Younger
70,0,Treatment,Younger
70,1,Treatment,Younger
70,1,Control,Younger
70,0,Treatment,Younger
70,1,Treatment,Younger
70,1,Control,Younger
70,1,Treatment,Younger
70,0,Treatment,Younger
70,1,Control,Younger
70,1,Control,Younger
70,1,Treatment,Younger
70,0,Control,Younger
70,1,Treatment,Younger
70,0,Treatment,Younger
70,1,Treatment,Younger
70,1,Control,Younger
70,0,Treatment,Younger
70,0,Control,Younger
70,1,Control,Younger
70,1,Treatment,Younger
70,1,Treatment,Younger
70,0,Treatment,Younger
70,1,Control,Younger
71,1,Control,Younger
71,1,Control,Younger
71,1,Control,Younger
71,1,Treatment,Younger
71,1,Control,Younger
71,1,Control,Younger
71,1,Treatment,Younger
71,1,Control,Younger
71,1,Control,Younger
71,1,Control,Younger
71,1,Control,Younger
71,1,Treatment,Younger
71,1,Treatment,Younger
71,1,Treatment,Younger
71,1,Control,Younger
71,1,Treatment,Younger
71,1,Treatment,Younger
71,1,Control,Younger
71,1,Control,Younger
71,1,Control,Younger
71,1,Control,Younger
71,1,Treatment,Younger
71,1,Control,Younger
71,1,Treatment,Younger
71,1,Treatment,Younger
71,1,Control,Younger
71,1,Treatment,Younger
71,1,Control,Younger
71,1,Treatment,Younger
71,1,Treatment,Younger
71,1,Treatment,Younger
71,1,Control,Younger
71,0,Treatment,Younger
71,1,Treatment,Younger
71,1,Control,Younger
71,1,Treatment,Younger
71,1,Treatment,Younger
71,1,Control,Younger
71,1,Control,Younger
71,1,Treatment,Younger
71,1,Control,Younger
71,1,Control,Younger
71,1,Treatment,Younger
71,1,Control,Younger
71,1,Control,Younger
71,1,Control,Younger
71,1,Control,Younger
71,1,Control,Younger
71,1,Control,Younger
71,1,Treatment,Younger
71,1,Control,Younger
71,1,Treatment,Younger
71,1,Treatment,Younger
71,1,Treatment,Younger
71,1,Treatment,Younger
71,1,Control,Younger
71,1,Treatment,Younger
71,1,Treatment,Younger
71,0,Treatment,Younger
71,1,Treatment,Younger
71,1,Treatment,Younger
71,1,Treatment,Younger
71,1,Treatment,Younger
71,1,Control,Younger
72,1,Control,Younger
72,1,Treatment,Younger
72,1,Treatment,Younger
72,1,Treatment,Younger
72,1,Control,Younger
72,1,Treatment,Younger
72,1,Control,Younger
72,1,Treatment,Younger
72,1,Control,Younger
72,1,Control,Younger
72,1,Treatment,Younger
72,1,Control,Younger
72,1,Treatment,Younger
72,1,Treatment,Younger
72,1,Control,Younger
72,1,Treatment,Younger
72,1,Treatment,Younger
72,1,Treatment,Younger
72,1,Treatment,Younger
72,1,Treatment,Younger
72,1,Control,Younger
72,1,Control,Younger
72,1,Control,Younger
72,1,Control,Younger
72,1,Control,Younger
72,1,Control,Younger
72,1,Treatment,Younger
72,1,Treatment,Younger
72,1,Treatment,Younger
72,1,Control,Younger
72,1,Control,Younger
72,1,Control,Younger
72,1,Control,Younger
72,1,Control,Younger
72,1,Treatment,Younger
72,1,Treatment,Younger
72,1,Treatment,Younger
72,1,Treatment,Younger
72,1,Control,Younger
72,1,Control,Younger
72,1,Treatment,Younger
72,1,Treatment,Younger
72,1,Control,Younger
72,1,Control,Younger
72,1,Treatment,Younger
72,1,Control,Younger
72,1,Treatment,Younger
72,1,Treatment,Younger
72,1,Control,Younger
72,1,Control,Younger
72,1,Treatment,Younger
72,1,Control,Younger
72,1,Treatment,Younger
72,1,Treatment,Younger
72,1,Control,Younger
72,1,Treatment,Younger
72,1,Treatment,Younger
72,1,Treatment,Younger
72,1,Control,Younger
72,1,Treatment,Younger
72,1,Control,Younger
72,1,Control,Younger
72,1,Control,Younger
72,1,Control,Younger
73,0,Treatment,Younger
73,1,Treatment,Younger
73,0,Control,Younger
73,1,Control,Younger
73,0,Treatment,Younger
73,1,Control,Younger
73,1,Treatment,Younger
73,1,Treatment,Younger
73,1,Control,Younger
73,1,Treatment,Younger
73,1,Control,Younger
73,0,Control,Younger
73,1,Treatment,Younger
73,1,Treatment,Younger
73,1,Control,Younger
73,1,Control,Younger
73,1,Control,Younger
73,1,Treatment,Younger
73,1,Treatment,Younger
73,1,Control,Younger
73,1,Control,Younger
73,1,Control,Younger
73,1,Treatment,Younger
73,1,Treatment,Younger
73,1,Control,Younger
73,1,Control,Younger
73,1,Control,Younger
73,0,Control,Younger
73,0,Treatment,Younger
73,1,Treatment,Younger
73,0,Treatment,Younger
73,1,Control,Younger
73,1,Treatment,Younger
73,1,Control,Younger
73,1,Control,Younger
73,0,Treatment,Younger
73,1,Control,Younger
73,1,Control,Younger
73,0,Treatment,Younger
73,1,Treatment,Younger
73,1,Control,Younger
73,1,Treatment,Younger
73,1,Control,Younger
73,1,Treatment,Younger
73,1,Treatment,Younger
73,1,Treatment,Younger
73,1,Treatment,Younger
73,1,Control,Younger
73,1,Control,Younger
73,1,Control,Younger
73,1,Treatment,Younger
73,1,Control,Younger
73,1,Control,Younger
73,1,Treatment,Younger
73,1,Control,Younger
73,1,Treatment,Younger
73,1,Treatment,Younger
73,1,Control,Younger
73,1,Control,Younger
73,1,Treatment,Younger
73,1,Treatment,Younger
73,1,Treatment,Younger
73,1,Treatment,Younger
73,1,Control,Younger
74,1,Treatment,Younger
74,1,Control,Younger
74,0,Control,Younger
74,1,Control,Younger
74,1,Treatment,Younger
74,1,Control,Younger
74,1,Control,Younger
74,1,Treatment,Younger
74,1,Control,Younger
74,1,Treatment,Younger
74,1,Control,Younger
74,1,Control,Younger
74,1,Control,Younger
74,1,Control,Younger
74,1,Treatment,Younger
74,1,Control,Younger
74,1,Control,Younger
74,1,Treatment,Younger
74,1,Control,Younger
74,1,Control,Younger
74,1,Control,Younger
74,1,Control,Younger
74,1,Control,Younger
74,1,Treatment,Younger
74,1,Treatment,Younger
74,1,Control,Younger
74,1,Treatment,Younger
74,1,Treatment,Younger
74,1,Treatment,Younger
74,1,Treatment,Younger
74,1,Treatment,Younger
74,1,Treatment,Younger
74,1,Control,Younger
74,1,Treatment,Younger
74,1,Treatment,Younger
74,1,Treatment,Younger
74,1,Treatment,Younger
74,1,Treatment,Younger
74,1,Control,Younger
74,1,Control,Younger
74,1,Control,Younger
74,1,Treatment,Younger
74,1,Control,Younger
74,1,Control,Younger
74,1,Control,Younger
74,1,Control,Younger
74,1,Control,Younger
74,1,Treatment,Younger
74,1,Treatment,Younger
74,1,Treatment,Younger
74,1,Treatment,Younger
74,1,Control,Younger
74,1,Control,Younger
74,1,Control,Younger
74,1,Treatment,Younger
74,1,Treatment,Younger
74,1,Treatment,Younger
74,1,Treatment,Younger
74,1,Treatment,Younger
74,1,Treatment,Younger
74,1,Control,Younger
74,1,Treatment,Younger
74,1,Control,Younger
74,1,Treatment,Younger
75,1,Treatment,Younger
75,1,Treatment,Younger
75,1,Treatment,Younger
75,1,Control,Younger
75,1,Control,Younger
75,1,Control,Younger
75,1,Treatment,Younger
75,1,Treatment,Younger
75,1,Control,Younger
75,1,Treatment,Younger
75,1,Treatment,Younger
75,1,Treatment,Younger
75,1,Control,Younger
75,1,Treatment,Younger
75,1,Treatment,Younger
75,1,Control,Younger
75,1,Treatment,Younger
75,1,Control,Younger
75,1,Treatment,Younger
75,1,Treatment,Younger
75,1,Treatment,Younger
75,1,Control,Younger
75,1,Control,Younger
75,1,Control,Younger
75,1,Control,Younger
75,1,Control,Younger
75,1,Treatment,Younger
75,1,Treatment,Younger
75,1,Control,Younger
75,0,Treatment,Younger
75,1,Treatment,Younger
75,1,Control,Younger
75,1,Treatment,Younger
75,1,Treatment,Younger
75,1,Control,Younger
75,1,Control,Younger
75,1,Control,Younger
75,1,Control,Younger
75,1,Control,Younger
75,1,Control,Younger
75,1,Treatment,Younger
75,0,Control,Younger
75,1,Treatment,Younger
75,1,Control,Younger
75,1,Treatment,Younger
75,1,Control,Younger
75,1,Treatment,Younger
75,1,Control,Younger
75,1,Control,Younger
75,1,Treatment,Younger
75,1,Control,Younger
75,1,Control,Younger
75,1,Treatment,Younger
75,1,Treatment,Younger
75,1,Treatment,Younger
75,1,Control,Younger
75,1,Control,Younger
75,1,Control,Younger
75,1,Treatment,Younger
75,1,Control,Younger
75,1,Treatment,Younger
75,1,Treatment,Younger
75,1,Control,Younger
75,1,Treatment,Younger
76,1,Treatment,Younger
76,1,Control,Younger
76,0,Control,Younger
76,1,Treatment,Younger
76,1,Control,Younger
76,0,Control,Younger
76,1,Treatment,Younger
76,0,Control,Younger
76,1,Treatment,Younger
76,1,Control,Younger
76,1,Control,Younger
76,1,Treatment,Younger
76,1,Treatment,Younger
76,1,Treatment,Younger
76,0,Control,Younger
76,1,Treatment,Younger
76,1,Control,Younger
76,1,Control,Younger
76,1,Control,Younger
76,1,Control,Younger
76,1,Control,Younger
76,1,Treatment,Younger
76,1,Control,Younger
76,0,Control,Younger
76,1,Treatment,Younger
76,1,Control,Younger
76,1,Control,Younger
76,0,Treatment,Younger
76,1,Treatment,Younger
76,1,Control,Younger
76,0,Control,Younger
76,1,Control,Younger
76,1,Treatment,Younger
76,0,Control,Younger
76,1,Treatment,Younger
76,1,Control,Younger
76,1,Control,Younger
76,1,Control,Younger
76,1,Treatment,Younger
76,1,Control,Younger
76,1,Treatment,Younger
76,1,Treatment,Younger
76,1,Control,Younger
76,1,Treatment,Younger
76,1,Treatment,Younger
76,0,Treatment,Younger
76,1,Treatment,Younger
76,1,Treatment,Younger
76,1,Control,Younger
76,1,Treatment,Younger
76,1,Treatment,Younger
76,1,Treatment,Younger
76,1,Control,Younger
76,1,Treatment,Younger
76,1,Control,Younger
76,1,Control,Younger
76,1,Treatment,Younger
76,1,Control,Younger
76,1,Treatment,Younger
76,1,Treatment,Younger
76,1,Control,Younger
76,0,Treatment,Younger
76,1,Treatment,Younger
76,1,Treatment,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Treatment,Younger
77,1,Treatment,Younger
77,1,Treatment,Younger
77,1,Treatment,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Treatment,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Treatment,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Control,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Control,Younger
77,1,Treatment,Younger
77,1,Treatment,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Treatment,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Control,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Control,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Control,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Treatment,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Control,Younger
77,0,Treatment,Younger
77,1,Control,Younger
77,1,Control,Younger
77,1,Control,Younger
77,1,Control,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Control,Younger
77,1,Control,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Treatment,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Control,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Treatment,Younger
77,1,Control,Younger
77,1,Treatment,Younger
78,1,Treatment,Younger
78,1,Treatment,Younger
78,1,Control,Younger
78,1,Control,Younger
78,1,Treatment,Younger
78,1,Control,Younger
78,1,Control,Younger
78,1,Treatment,Younger
78,1,Treatment,Younger
78,1,Treatment,Younger
78,1,Treatment,Younger
78,1,Treatment,Younger
78,1,Treatment,Younger
78,1,Treatment,Younger
78,1,Control,Younger
78,1,Control,Younger
78,1,Control,Younger
78,1,Treatment,Younger
78,1,Treatment,Younger
78,1,Control,Younger
78,1,Treatment,Younger
78,1,Control,Younger
78,1,Treatment,Younger
78,1,Treatment,Younger
78,1,Control,Younger
78,1,Control,Younger
78,1,Control,Younger
78,1,Control,Younger
78,1,Control,Younger
78,1,Treatment,Younger
78,1,Treatment,Younger
78,1,Control,Younger
78,1,Control,Younger
78,1,Treatment,Younger
78,1,Control,Younger
78,1,Treatment,Younger
78,1,Control,Younger
78,1,Treatment,Younger
78,1,Control,Younger
78,1,Treatment,Younger
78,1,Control,Younger
78,1,Treatment,Younger
78,1,Control,Younger
78,1,Control,Younger
78,1,Control,Younger
78,1,Treatment,Younger
78,1,Control,Younger
